"","id","admit","gre","gpa","rank"
"1",1,0,380,3.61,"c"
"2",2,1,660,3.67,"c"
"3",3,1,800,4,"a"
"4",4,1,640,3.19,"d"
"5",5,0,520,2.93,"d"
"6",6,1,760,3,"b"
"7",7,1,560,2.98,"a"
"8",8,0,400,3.08,"b"
"9",9,1,540,3.39,"c"
"10",10,0,700,3.92,"b"
"11",11,0,800,4,"d"
"12",12,0,440,3.22,"a"
"13",13,1,760,4,"a"
"14",14,0,700,3.08,"b"
"15",15,1,700,4,"a"
"16",16,0,480,3.44,"c"
"17",17,0,780,3.87,"d"
"18",18,0,360,2.56,"c"
"19",19,0,800,3.75,"b"
"20",20,1,540,3.81,"a"
"21",21,0,500,3.17,"c"
"22",22,1,660,3.63,"b"
"23",23,0,600,2.82,"d"
"24",24,0,680,3.19,"d"
"25",25,1,760,3.35,"b"
"26",26,1,800,3.66,"a"
"27",27,1,620,3.61,"a"
"28",28,1,520,3.74,"d"
"29",29,1,780,3.22,"b"
"30",30,0,520,3.29,"a"
"31",31,0,540,3.78,"d"
"32",32,0,760,3.35,"c"
"33",33,0,600,3.4,"c"
"34",34,1,800,4,"c"
"35",35,0,360,3.14,"a"
"36",36,0,400,3.05,"b"
"37",37,0,580,3.25,"a"
"38",38,0,520,2.9,"c"
"39",39,1,500,3.13,"b"
"40",40,1,520,2.68,"c"
"41",41,0,560,2.42,"b"
"42",42,1,580,3.32,"b"
"43",43,1,600,3.15,"b"
"44",44,0,500,3.31,"c"
"45",45,0,700,2.94,"b"
"46",46,1,460,3.45,"c"
"47",47,1,580,3.46,"b"
"48",48,0,500,2.97,"d"
"49",49,0,440,2.48,"d"
"50",50,0,400,3.35,"c"
"51",51,0,640,3.86,"c"
"52",52,0,440,3.13,"d"
"53",53,0,740,3.37,"d"
"54",54,1,680,3.27,"b"
"55",55,0,660,3.34,"c"
"56",56,1,740,4,"c"
"57",57,0,560,3.19,"c"
"58",58,0,380,2.94,"c"
"59",59,0,400,3.65,"b"
"60",60,0,600,2.82,"d"
"61",61,1,620,3.18,"b"
"62",62,0,560,3.32,"d"
"63",63,0,640,3.67,"c"
"64",64,1,680,3.85,"c"
"65",65,0,580,4,"c"
"66",66,0,600,3.59,"b"
"67",67,0,740,3.62,"d"
"68",68,0,620,3.3,"a"
"69",69,0,580,3.69,"a"
"70",70,0,800,3.73,"a"
"71",71,0,640,4,"c"
"72",72,0,300,2.92,"d"
"73",73,0,480,3.39,"d"
"74",74,0,580,4,"b"
"75",75,0,720,3.45,"d"
"76",76,0,720,4,"c"
"77",77,0,560,3.36,"c"
"78",78,1,800,4,"c"
"79",79,0,540,3.12,"a"
"80",80,1,620,4,"a"
"81",81,0,700,2.9,"d"
"82",82,0,620,3.07,"b"
"83",83,0,500,2.71,"b"
"84",84,0,380,2.91,"d"
"85",85,1,500,3.6,"c"
"86",86,0,520,2.98,"b"
"87",87,0,600,3.32,"b"
"88",88,0,600,3.48,"b"
"89",89,0,700,3.28,"a"
"90",90,1,660,4,"b"
"91",91,0,700,3.83,"b"
"92",92,1,720,3.64,"a"
"93",93,0,800,3.9,"b"
"94",94,0,580,2.93,"b"
"95",95,1,660,3.44,"b"
"96",96,0,660,3.33,"b"
"97",97,0,640,3.52,"d"
"98",98,0,480,3.57,"b"
"99",99,0,700,2.88,"b"
"100",100,0,400,3.31,"c"
"101",101,0,340,3.15,"c"
"102",102,0,580,3.57,"c"
"103",103,0,380,3.33,"d"
